,event_name,video_id,title,url_thumb,tags,view_count,like_count,dislike_count,comment_count,created,blurriness,brightness,contrast,overexposure,entropy,avg_color,word_count,punctuation_count,character_count,google_hits,sentiment_vader,sentiment_blob_polarity,sentiment_blob_subjectivity
237,TEDxRiodelaPlataSalon2016,c4e18422-cfc7-4ee8-a4a3-2105cb6a3108,Parcialmente automatizables | Sebastián Campanario | TEDxRiodelaPlataSalon,https://i.ytimg.com/vi/VD0AuA5woxU/hqdefault.jpg,"TEDxTalks,Spanish,Argentina,Life,AI,Future,Work",2619,17,1,0,2017-10-06 13:57:21,347.9811284574533,0.40694550690827613,0.0,0.0,4.425068679577817,"(109.74571180555556, 103.33130787037037, 98.56302662037037)",5,2,74,43500,0.0,0.0,0.0
238,TEDxRiodelaPlataSalon2016,7417b636-fe4e-4945-b029-b65a2df69b6e,Un campo que se transforma | Gustavo Grobocopatel | TEDxRiodelaPlataSalon,https://i.ytimg.com/vi/drAs8xjaq4c/hqdefault.jpg,"TEDxTalks,Spanish,Argentina,Business,Agriculture,Food,Future,Technology",2513,13,1,4,2017-10-06 13:57:18,587.3255864035442,0.43896531846788206,0.0,0.0,4.399419497281949,"(122.07287037037037, 109.22568287037036, 107.45622685185185)",8,2,73,22900,0.0,0.0,0.0
239,TEDxRiodelaPlataED2015,1673b3e1-7bbf-466d-b3d1-8bf7a533ffc0,Performance | Los Periplos | TEDxRiodelaPlataED,https://i.ytimg.com/vi/pdnYJAZbgNY/hqdefault.jpg,"TEDxTalks,Spanish,Argentina,Art,Music (performance)",2487,25,2,0,2017-10-06 13:55:23,915.8127089108314,0.2034751609519674,0.0,0.0,4.401490035418556,"(69.66689814814815, 37.84407407407407, 82.89652777777778)",4,2,47,215000,0.0,0.0,0.0
240,TEDxRiodelaPlata2017,752637e5-d777-460c-ad46-407fa26f77f4,Un campamento de 2 mil millones de personas | Greg Diuk | TEDxJoven@RíodelaPlata,https://i.ytimg.com/vi/mDoQxXiHup4/hqdefault.jpg,"TEDxTalks,Spanish,Social Science,Behavior,Community,Culture,Data,Empathy,Friendship,Globalization,Relationships",2485,70,0,4,2017-11-29 12:20:54,138.73611675954137,0.14122192382812493,0.0,0.0,3.506686164129148,"(72.06004050925925, 19.89059027777778, 29.746302083333333)",12,3,80,444,0.0,0.0,0.0
241,TEDxRiodelaPlata2013,09f1a196-b5e6-4b98-9618-4ee9dd8413c5,Performance | Marcelo Katz | TEDxRiodelaPlata,https://i.ytimg.com/vi/L4tHHRw24w4/hqdefault.jpg,"ted talk,Música,tedx talks,TEDx,TEDxRíodelaPlata,Español,Usina del Arte,tedx,Spanish Language (Human Language),tedx talk,Películas mudas,Entertainment,Dance,TEDxRiodelaPlata,ted talks,Music,ted x,Performance,Danza,ted,Argentina (Country),Marcelo Katz",2350,10,0,1,2017-10-06 13:54:50,419.75026745541857,0.13826054325810172,0.0,0.0,2.9566368697899694,"(35.99460069444444, 36.40586226851852, 30.958275462962963)",4,2,45,50300000,0.0,0.0,0.0
242,TEDxRiodelaPlata2013,b1a833b4-8913-48e1-9e3c-cf5802ec29dd,Performance | Visera Crash | TEDxRiodelaPlata,https://i.ytimg.com/vi/VEowpjy8ZHU/hqdefault.jpg,"ted x,Entertainment,Performance,TEDx,Spanish Language (Human Language),Quinteto de cuerdas,Español,Argentina (Country),ted talks,Danza,tedx talks,Música,tedx talk,Visera Crash,Usina del Arte,ted,Music,ted talk,TEDxRiodelaPlata,tedx,Dance,TEDxRíodelaPlata",2262,18,0,0,2017-10-06 13:54:55,1419.0481865482943,0.19712637442129607,0.0,0.0,4.347648105340973,"(70.2295775462963, 43.92446180555555, 35.57711805555556)",4,2,45,234000000,-0.4019,0.0,0.0
243,TEDxRiodelaPlataED2015,ce1f1363-f7cb-4e07-a86c-66e51b6cadb6,Performance | Orquesta de instumentos autóctonos y nuevas tecnologías | TEDxRiodelaPlataED,https://i.ytimg.com/vi/myhFbqnMDEc/hqdefault.jpg,"TEDxTalks,Spanish,Argentina,Art,Music (performance)",2249,18,0,2,2017-10-06 13:55:24,465.63669104342887,0.10847511574074033,0.0,0.0,3.8630921875485935,"(37.125086805555554, 20.104091435185186, 46.108136574074074)",9,2,90,125,0.0,0.0,0.0
244,TEDxJoven@RiodelaPlata 2012,d13729c4-1fb7-4a12-823a-4740ceaf2554,TEDxJoven@RíodelaPlata - Nahuel Gonzalez - Comunicación para tod@s,https://i.ytimg.com/vi/IpaEGoz6P64/hqdefault.jpg,"Argentina,Español,Spanish,TEDxRíodelaPlata,Tecnología,Technology,Diseño,Design,Ciencia,Science,Medicina,Medicine,Comunidad,Community,Estilo de vida,Lifestyle,Discapacidad,Disability,Inclusión",2227,13,0,0,2017-09-12 16:08:15,484.90763999241125,0.22828190556278943,0.0,0.0,4.401653347885815,"(49.86440972222222, 59.29491898148148, 80.05600694444445)",8,4,66,142,0.0,0.0,0.0
245,TEDxRiodelaPlata2017,51618558-4062-4691-b158-2d06d67f742b,Testigos de la historia | Teresa Bo | TEDxRiodelaPlata,https://i.ytimg.com/vi/pqEHixY2RGc/hqdefault.jpg,"TEDxTalks,Spanish,Global Issues,Communication,History,Journalism,Natural disaster,War",2202,47,2,1,2017-11-21 18:39:47,119.52634452160119,0.149715033637153,0.0,0.0,3.350381940015572,"(83.08346064814815, 19.226469907407406, 22.894247685185185)",7,2,54,1590000,0.0,0.0,0.0
246,TEDxRiodelaPlata2017,ac2a06d5-fa7b-453e-98a5-3a63411fb31a,Órganos en un chip | Solange Massa | TEDxJoven@RíodelaPlata,https://i.ytimg.com/vi/KfLDoQb3KH4/hqdefault.jpg,"TEDxTalks,Spanish,Science (hard),Medicine,Research,Science,Technology",2113,31,1,1,2017-11-29 12:20:03,297.2110229737628,0.15200701678240744,0.0,0.0,3.1341057252177156,"(87.39826388888889, 17.16800925925926, 26.935028935185183)",8,3,59,17600,0.0,0.0,0.0
